Date,All-items,Food,Shelter,"Household operations, furnishings and equipment",Clothing and footwear,Transportation,Gasoline,Health and personal care,"Recreation, education and reading","Alcoholic beverages, tobacco products and recreational cannabis",All-items excluding food and energy,All-items excluding energy,Energy,Goods,Services
01-Jan,96.5,95,97.3,96.9,102.4,98.2,103.8,97.7,95.6,80.3,96.1,95.9,102.3,97.9,95.3
01-Feb,97.1,95.9,97.4,97.5,103.2,98.6,103.4,98.3,97.1,80.6,96.7,96.6,101.9,98.3,96
01-Mar,97.7,96.6,98.9,97.8,105.3,97.4,100.6,98.4,98.2,80.5,97,97,104.8,99.4,96.2
01-Apr,98.1,96.8,98.8,98.7,101,99.3,110.1,98.7,98.8,84.7,97.2,97.1,108.4,100.1,96.5
01-May,98.7,97.7,99,98.8,100.4,100.4,115.3,98.9,99.6,86,97.4,97.5,110.7,100.8,96.8
01-Jun,98.7,98.1,99.6,98.9,101.2,98.8,105.7,99.7,99.2,86.3,97.7,97.7,107.9,100.4,97.1
01-Jul,98.5,98,99.8,98.7,101.2,97.3,96.6,99.6,100.1,87.1,98,98,103.6,99.4,97.8
01-Aug,98.5,97.4,99.7,98.9,101.8,97.8,98.7,98.8,100.3,87.3,98.1,98,104,99.3,97.9
01-Sep,98.7,96.7,99.2,100,102.7,99,104.8,98.7,100.2,87.5,98.3,98,105.1,99.5,98
01-Oct,98.4,96.8,99.9,99.4,101.9,97.3,96.7,99.8,99,88.2,98.4,98.1,101,98.6,98.2
01-Nov,97.7,97.4,99.3,98.9,100.5,94.9,88.7,99.3,97.7,91.9,98.1,97.9,95.2,97.5,97.9
01-Dec,97.7,98,99.5,98.9,99.5,94.4,85.4,99,97.4,92.3,98,98,94.4,97.4,97.9
02-Jan,97.7,99,99.5,98.8,95.8,95.3,88.7,98.9,96.5,92.4,97.6,97.9,95.8,97.4,97.9
02-Feb,98.4,99.9,99.6,99.5,99,95.8,89.1,99.5,98,92.9,98.4,98.7,95.8,98.3,98.5
02-Mar,99.5,100.3,100.4,100.3,101.8,97.8,96.7,99.3,99.4,92.4,99,99.3,101.6,100,99
02-Apr,99.5,100.2,99.1,100.2,101.8,99.8,103,99.8,99.3,92.6,99.3,99.4,99.6,99.8,99.2
02-May,99.5,100.1,99.3,100.2,99,99.6,100,100.3,100.5,93.8,99.6,99.7,98.2,99.2,99.8
02-Jun,99.8,100.9,99,100.5,99.1,99.3,98.4,100.5,100.8,99.3,100,100.2,96.1,99.6,100
02-Jul,100.5,100.6,99.4,100.8,101,100.4,101.4,99.9,101.7,105.2,100.8,100.7,98.5,100.6,100.5
02-Aug,101.3,100.3,101.5,100.7,100.9,101.3,104,100,101.7,105.4,100.9,100.8,106.5,101.9,100.7
02-Sep,100.9,99.1,100.9,100,101.9,101.2,104.4,100,101.9,105.4,100.8,100.5,104.9,101.2,100.7
02-Oct,101.1,98.5,101.9,99.7,101.8,101.9,106.7,100.6,100.9,106.5,100.9,100.5,107.6,101.5,100.8
02-Nov,101.4,100.2,101.6,99.9,100.1,102.9,104.5,100.4,100,107.3,101.2,101,104.8,101.6,101.1
02-Dec,100.4,100.9,97.7,99.5,97.8,104.5,103,100.6,99.4,107,101.5,101.4,90.6,98.7,101.9
03-Jan,101.9,102,101.5,99.5,96.6,106.3,109.3,100.3,98.5,106.9,101.5,101.5,109.3,101.5,102.3
03-Feb,102.7,102.1,101.8,100.8,98.7,107.8,116.4,100.6,100,107.7,102.2,102.2,113.5,102.8,102.8
03-Mar,102.8,102,102.2,100.8,99.9,107.7,115.2,100.4,99.8,107.7,102.3,102.2,114.1,103,102.8
03-Apr,101.8,102,100.4,101,97.6,105.6,104.5,101.2,99.3,107.8,102.3,102.2,99.3,100.4,103
03-May,102.2,101.6,102.3,101.1,97.7,104.2,97,101.4,99.7,109.6,102.5,102.3,103.2,101,103.2
03-Jun,102.3,102.1,103.1,101,94.9,103.9,98.6,101.4,100.1,110,102.3,102.3,106.3,101,103.5
03-Jul,102.5,102.5,103,101.1,95.6,104.2,100.1,101.3,100,110.3,102.4,102.4,106.9,101.1,103.7
03-Aug,103,101.6,103.5,101.1,96.1,106.9,111.2,101.6,100.2,110.6,102.7,102.5,113.8,101.9,104.1
03-Sep,103.2,100.5,103.6,101.6,99.2,106.5,109.5,101.7,101,110.5,103.1,102.7,112.7,101.7,104.5
03-Oct,102.9,100.2,103.7,101.7,98.5,105.3,103.7,101.7,100.6,110.6,103.3,102.8,107.5,100.5,104.9
03-Nov,103.1,100.9,103.8,101.3,99.6,105.9,100.5,101.8,100.2,111.5,103.6,103.1,106.2,101.2,104.8
03-Dec,103.4,102.2,104.4,101.5,98,105.9,100.1,101.5,99.3,115.1,103.6,103.3,107.8,101.6,105
04-Jan,103.4,102.5,103.9,101.2,98,107.1,107,101.8,98.3,114.6,103.4,103.2,108.9,101.7,104.9
04-Feb,103.6,102.5,104.1,101.5,99.3,106.6,109.3,101.4,99.3,115.7,103.5,103.3,110.5,101.8,105.1
04-Mar,104,102.6,104.4,101.7,100.2,106.8,110,102,100.3,115.7,103.9,103.7,110.8,102.4,105.4
04-Apr,104.1,102.2,105,102.2,98.9,107,111.4,102.7,100.2,116.3,104,103.7,113.2,102.6,105.5
04-May,105,103.2,105.2,101.9,97.7,110.4,127.5,102.5,100.9,117.6,104.2,104,121.4,104.1,105.8
04-Jun,104.8,103.8,105.3,101.4,96.8,109,120.5,102.6,100.7,119,104.1,104,117.8,103.4,105.9
04-Jul,104.9,104.3,106,101.2,95.3,108.6,118.5,102.6,101.1,119.5,104.1,104.2,118.3,103.4,106.2
04-Aug,104.7,104,106.1,101.3,96.5,107.2,117.9,101.8,100.9,119.9,103.9,103.9,118,102.9,106.2
04-Sep,104.8,103.3,106.3,101.5,99.8,106.5,116.1,102.8,101.1,119.8,104.2,104.1,117.4,103.1,106.3
04-Oct,105,103.7,106.7,101.3,100.1,107.4,122.8,102.8,100.6,119.9,104.3,104.2,119.4,103.3,106.6
04-Nov,105.4,104.9,107,101.2,98.1,109,115.3,102,99.9,120.3,104.8,104.9,115.9,103.7,106.9
04-Dec,105.3,105.9,107.1,101.2,95.7,108.4,109.1,102.7,99.3,120.5,104.8,105,112.6,103.4,107
05-Jan,105.1,105.4,107.4,101.2,92,109.5,114.8,102.4,97.8,121.2,104.3,104.5,116.3,103.1,106.9
05-Feb,105.8,106,107.9,101.3,97.2,109.7,117,103.1,98.3,121.4,104.8,105,119.2,104.3,107.1
05-Mar,106.4,106.4,108.2,101.7,99.3,110.6,123.6,103.2,99.1,123,105.2,105.4,122.7,105.3,107.4
05-Apr,106.5,107.2,108.2,101.3,97.1,111,128.9,104.6,99.1,123.1,105,105.4,125.2,105.4,107.6
05-May,106.6,107.5,108.6,101.5,96,110.5,123.8,104.2,99.3,123.8,105.2,105.6,122.6,105,108
05-Jun,106.8,107.8,108.8,101.6,93.7,111.3,128.3,104.8,99.5,123.8,105.2,105.6,124.9,105.1,108.2
05-Jul,106.9,107.3,109.2,101.2,93.2,111.7,133.6,105.2,100.1,123.7,105.1,105.4,129,105.1,108.4
05-Aug,107.5,107.3,109.3,101.5,96.1,113.7,142.9,104.7,100.1,123.7,105.4,105.7,133.8,106.4,108.5
05-Sep,108.2,105.9,109.6,102.2,99.7,116.5,159.4,104.2,100.8,123.8,105.8,105.8,142.9,107.8,108.7
05-Oct,107.7,105.9,110.3,101.9,99.7,113.7,143.5,104.6,99.7,123,105.8,105.8,136,106.5,108.8
05-Nov,107.5,106.6,110.4,102.5,95.8,113.1,127.3,105.3,98.9,123.8,106.2,106.3,127.4,105.9,109
05-Dec,107.6,107.6,110.2,102.5,94.7,113.4,128.7,105.2,98.5,123.3,106.1,106.3,126.9,105.8,109.1
06-Jan,108.2,109,111.7,102.4,92.1,115.1,138.8,104.8,97.4,123.7,105.8,106.3,136.8,107.4,109
06-Feb,107.9,108.8,112,102.5,92.3,112.5,125.6,105.3,97.9,124.8,105.9,106.4,131.1,106.4,109.3
06-Mar,108.8,109.2,112.2,102.3,97,114.3,132.5,105.6,98.4,126.4,106.6,107.1,134.5,107.6,109.8
06-Apr,109.1,108.9,111.7,102.3,93.5,117.8,150.2,105.8,98.6,127,106.5,106.9,141,108,110.1
06-May,109.5,109.2,113,102.6,94.1,116.8,145.2,106.2,99.9,126.7,106.9,107.3,142.1,108.3,110.7
